statId,playerId,playerName,primaryPosition,positionGroup,clubName,seasonKey,status,ovr,confidence,minutesPlayed,appearances,finishing,shotPower,shotAccuracy,positioning,attackingMovement,shortPassing,longPassing,vision,crossing,throughBalls,chanceCreation,tackling,interceptions,marking,defensiveAwareness,positioningDef,blocks,aerialAbility,dribbling,ballControl,composure,stamina,strength,pace,acceleration,workRate,gkReflexes,gkHandling,gkPositioning,gkKicking,gkClaims
laliga-stat-1127-2021-2022,laliga-p-1127,Unknown Player,CM,MIDFIELDER,Real Madrid CF,2021-2022,RATED,73,0.98,1728,31,93.0,91.0,92.0,88.0,85.0,78.0,77.0,77.0,76.0,77.0,77.0,56.0,57.0,57.0,57.0,57.0,58.0,61.0,74.0,75.0,74.0,73.0,72.0,73.0,73.0,69.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-25766-2021-2022,laliga-p-25766,Marco Moreno,CB,DEFENDER,Atlético de Madrid,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-6384-2021-2022,laliga-p-6384,Marcos Acuña,CB,DEFENDER,Sevilla FC,2021-2022,RATED,73,0.99,2264,31,65.0,67.0,65.0,70.0,73.0,91.0,89.0,90.0,88.0,89.0,90.0,70.0,70.0,69.0,70.0,69.0,69.0,74.0,82.0,82.0,82.0,83.0,82.0,83.0,83.0,81.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-12137-2021-2022,laliga-p-12137,Marcos André de Sousa Mendonça,ST,ATTACKER,Valencia CF,2021-2022,RATED,69,0.81,961,29,73.0,71.0,72.0,70.0,68.0,55.0,56.0,55.0,57.0,56.0,55.0,71.0,71.0,71.0,71.0,71.0,71.0,68.0,65.0,64.0,64.0,60.0,61.0,61.0,61.0,62.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-25815-2021-2022,laliga-p-25815,Marcos Fernández,CB,DEFENDER,RCD Mallorca,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-1700-2021-2022,laliga-p-1700,Marcos Llorente,CM,MIDFIELDER,Atlético de Madrid,2021-2022,RATED,77,0.99,2455,29,58.0,61.0,58.0,63.0,70.0,76.0,75.0,76.0,75.0,75.0,76.0,74.0,73.0,73.0,73.0,73.0,73.0,78.0,76.0,76.0,78.0,87.0,85.0,86.0,86.0,85.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-1190-2021-2022,laliga-p-1190,Mariano Díaz,ST,ATTACKER,Real Madrid CF,2021-2022,RATED,71,0.57,339,9,76.0,74.0,75.0,73.0,68.0,55.0,56.0,56.0,57.0,56.0,56.0,60.0,61.0,61.0,61.0,61.0,62.0,59.0,65.0,65.0,64.0,57.0,58.0,58.0,58.0,58.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-25854-2021-2022,laliga-p-25854,Mario Domínguez,ST,ATTACKER,Valencia CF,2021-2022,UNRATED,,0.05,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-78-2021-2022,laliga-p-78,Mario Gaspar Pérez Martínez,CB,DEFENDER,Villarreal CF,2021-2022,RATED,70,0.66,621,12,64.0,64.0,64.0,67.0,63.0,74.0,73.0,73.0,73.0,73.0,73.0,71.0,71.0,71.0,71.0,71.0,71.0,68.0,76.0,76.0,73.0,63.0,63.0,65.0,65.0,64.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-25520-2021-2022,laliga-p-25520,Mario Gila,CB,DEFENDER,Real Madrid CF,2021-2022,UNRATED,,0.05,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-1956-2021-2022,laliga-p-1956,Mario Hermoso,CB,DEFENDER,Atlético de Madrid,2021-2022,RATED,80,0.99,1868,26,65.0,67.0,66.0,68.0,71.0,88.0,86.0,87.0,85.0,86.0,87.0,80.0,79.0,79.0,79.0,79.0,78.0,79.0,75.0,75.0,75.0,79.0,78.0,78.0,78.0,79.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-6347-2021-2022,laliga-p-6347,Mario Hernández,CM,MIDFIELDER,Rayo Vallecano,2021-2022,RATED,66,0.58,393,9,70.0,69.0,70.0,68.0,66.0,67.0,68.0,67.0,68.0,68.0,67.0,72.0,71.0,71.0,71.0,71.0,71.0,68.0,64.0,64.0,63.0,59.0,60.0,59.0,59.0,61.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-569-2021-2022,laliga-p-569,Mario Suárez,CM,MIDFIELDER,Rayo Vallecano,2021-2022,RATED,71,0.7,710,14,65.0,64.0,65.0,65.0,62.0,73.0,73.0,73.0,73.0,73.0,73.0,80.0,79.0,79.0,79.0,79.0,78.0,74.0,67.0,67.0,65.0,59.0,60.0,60.0,60.0,63.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-1988-2021-2022,laliga-p-1988,Marko Dmitrovic,GK,GOALKEEPER,Sevilla FC,2021-2022,RATED,69,0.58,540,6,54.0,55.0,55.0,56.0,57.0,65.0,66.0,65.0,66.0,66.0,65.0,48.0,49.0,50.0,49.0,50.0,51.0,52.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,59.0,70.0,70.0,70.0,66.0,69.0
laliga-stat-8271-2021-2022,laliga-p-8271,Martin Braithwaite,ST,ATTACKER,FC Barcelona,2021-2022,RATED,84,0.25,237,4,91.0,88.0,90.0,87.0,79.0,58.0,59.0,58.0,59.0,59.0,58.0,58.0,58.0,59.0,58.0,59.0,59.0,59.0,77.0,76.0,73.0,60.0,61.0,63.0,63.0,60.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-8737-2021-2022,laliga-p-8737,Martin Valjent,CB,DEFENDER,RCD Mallorca,2021-2022,RATED,80,0.99,3182,36,58.0,62.0,59.0,64.0,72.0,73.0,73.0,73.0,72.0,73.0,73.0,79.0,79.0,78.0,79.0,78.0,77.0,83.0,78.0,78.0,81.0,93.0,91.0,91.0,91.0,91.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-5881-2021-2022,laliga-p-5881,Martín Aguirregabiria,CB,DEFENDER,Deportivo Alavés,2021-2022,RATED,77,0.96,1617,24,56.0,57.0,56.0,58.0,63.0,65.0,65.0,65.0,65.0,65.0,65.0,80.0,79.0,79.0,79.0,79.0,78.0,78.0,65.0,65.0,66.0,73.0,73.0,72.0,72.0,75.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-22833-2021-2022,laliga-p-22833,Martín Calderón,CM,MIDFIELDER,CD Mirandés,2021-2022,RATED,75,0.26,294,6,68.0,67.0,68.0,69.0,64.0,85.0,83.0,84.0,83.0,83.0,84.0,69.0,69.0,69.0,69.0,69.0,69.0,66.0,70.0,71.0,68.0,58.0,59.0,60.0,60.0,60.0,10.0,10.0,10.0,10.0,10.0
